期号	开奖日期	红1	红2	红3	红4	红5	红6	蓝球	奖池奖金(元)	一等奖注数	一等奖奖金	二等奖注数	二等奖奖金	销售额
Issue	DrawDate	RedOne	RedTwo	RedThree	RedFour	RedFive	RedSix	Blue	PrizePool	FirstPrize	FristPrizeBonus	SecondPrize	SecondPrizeBonus	Sales
2003001	2003/2/23	10	11	12	13	26	28	11	2097070	0	0	1	898744	10307806
2003002	2003/2/27	4	9	19	20	21	26	12	8330621	0	0	2	264332	7398870
2003003	2003/3/2	1	7	10	23	28	32	16	9881677	0	0	2	332369	8917960
2003004	2003/3/6	4	6	7	10	13	25	3	11852729	0	0	3	281578	9517794
2003005	2003/3/9	4	6	15	17	30	31	16	14280829	0	0	4	260153	10661438
2003006	2003/3/13	1	3	10	21	26	27	6	16204682	0	0	2	412254	10919658
2003007	2003/3/16	1	9	19	21	23	26	7	12985898	1	5000000	3	254459	12124030
2003008	2003/3/20	5	8	9	14	17	23	8	13403319	0	0	6	29815	11696278
2003009	2003/3/23	5	9	18	20	22	30	9	13902044	0	0	2	106869	12386072
2003010	2003/3/27	1	2	8	13	17	24	13	10810274	1	5000000	3	272604	12402130
2003011	2003/3/30	4	5	11	12	30	32	15	12695728	0	0	1	808052	12782494
2003012	2003/4/3	2	12	16	17	27	30	12	9876408	1	5000000	6	155762	12307262
2003013	2003/4/6	8	13	17	21	23	32	12	13128993	0	0	4	348491	12611880
2003014	2003/4/10	3	5	7	8	21	31	2	15565779	0	0	2	522168	12476130
2003015	2003/4/13	4	11	19	25	26	32	13	18393824	0	0	6	202003	13460134
2003016	2003/4/17	11	17	28	30	31	33	6	22558622	0	0	0	0	13098324
2003017	2003/4/20	5	8	18	23	25	31	6	25928966	0	0	1	1444433	14451270
2003018	2003/4/24	5	16	19	20	25	28	13	29122692	0	0	3	456246	14339392
2003019	2003/4/27	4	8	12	13	16	33	9	31555212	0	0	9	115834	15159580
2003020	2003/5/1	7	10	25	26	27	32	4	8846550	5	5000000	3	327334	14670860
2003021	2003/5/4	14	15	18	25	26	30	1	7108391	1	5000000	0	0	13537342
2003022	2003/5/8	2	7	11	12	14	32	8	9597935	0	0	1	1066947	13869188
2003023	2003/5/11	1	10	20	22	26	31	2	8321908	1	5000000	2	797994	15374822
2003024	2003/5/15	2	7	15	17	22	30	14	10313559	0	0	11	77596	15035104
2003025	2003/5/18	1	5	11	13	14	27	12	8394596	1	5000000	2	660222	16536260
2003026	2003/5/22	8	13	15	26	29	31	16	11267818	0	0	4	307845	16245314
2003027	2003/5/25	1	11	14	17	27	28	15	9553276	1	5000000	7	201150	17626250
2003028	2003/5/29	6	13	16	20	28	32	7	7115273	1	5000000	24	45749	17442014
2003029	2003/6/1	2	7	15	26	29	32	10	3170231	1	5000000	9	50236	17515374
2003030	2003/6/5	2	6	13	14	23	27	7	7240631	0	0	1	1744457	16765384
2003031	2003/6/8	11	17	20	22	28	32	1	11573486	0	0	6	309489	18101608
2003032	2003/6/12	4	11	25	27	29	30	13	15264588	0	0	4	395475	20115568
2003033	2003/6/15	1	7	14	20	27	30	10	20161441	0	0	11	190786	22266754
2003034	2003/6/19	8	13	14	16	23	25	14	24117797	0	0	6	282596	22899946
2003035	2003/6/22	3	4	5	8	10	11	8	28751013	0	0	7	283666	25179768
2003036	2003/6/26	7	21	24	25	27	28	15	28374435	1	5000000	10	198146	25054376
2003037	2003/6/29	9	14	17	18	26	32	7	19818362	2	5000000	39	15867	26257640
2003038	2003/7/3	5	7	8	24	25	27	16	17846466	1	5000000	13	99827	26782590
2003039	2003/7/6	3	5	23	24	27	32	3	18823695	1	5000000	1	2561669	27694202
2003040	2003/7/10	4	5	6	12	14	23	16	19393421	1	5000000	1	2387025	27328054
2003041	2003/7/13	2	3	17	18	24	25	11	8855427	3	5000000	11	173844	28265402
2003042	2003/7/17	3	5	7	10	15	20	7	8244457	1	5000000	14	134358	26607702
2003043	2003/7/20	2	8	10	19	20	32	13	12884963	0	0	5	397757	27416990
